job,website,company,salary
软件研发程序员实习助理,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4000-6000
计算机程序员,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
基层JAVA程序员助理/实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
(无经验可学徒）Java实习生/java开发/java程序员(双休),http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
C++ 客户端程序员,http://company.zhaopin.com/CC412147610.htm,无锡梵天信息技术股份有限公司,15001-20000
小程序程序员,http://company.zhaopin.com/CC285671689.htm,无锡灵山慈善基金会,5000-7000
PHP程序员,http://company.zhaopin.com/CC183199718.htm,中邦制衣(无锡)有限公司,6001-8000
ios程序员,http://company.zhaopin.com/CC687278328.htm,江苏米果教育科技有限公司,8001-10000
数据库程序员（Oracle）,http://company.zhaopin.com/CC144308677.htm,南京瑞玥科技有限公司,3000-4500
初级C++程序员,http://company.zhaopin.com/%E6%97%A0%E9%94%A1%E5%BE%AE%E8%A7%82%E8%A7%86%E8%A7%89%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC528841022.htm,无锡微观视觉科技有限公司,4001-6000
程序员,http://company.zhaopin.com/%E6%97%A0%E9%94%A1%E5%BE%AE%E8%A7%82%E8%A7%86%E8%A7%89%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC528841022.htm,无锡微观视觉科技有限公司,10001-15000
sas程序员,http://company.zhaopin.com/CC568785725.htm,无锡慧方科技有限公司,8000-15000
.Net开发程序员,http://company.zhaopin.com/%E6%97%A0%E9%94%A1%E5%B8%82%E6%96%B0%E5%8C%BA%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A_CC215801110.htm,无锡新新人力资源开发有限公司,2001-4000
IT程序员高新,http://company.zhaopin.com/CC325912783.htm,南京中琅电子有限公司,6001-8000
IT技术支持软件工程师程序员软件开发,http://company.zhaopin.com/CC692138226.htm,大连日协教育信息咨询有限公司,10001-15000
php程序员,http://company.zhaopin.com/CC285671689.htm,无锡灵山慈善基金会,5000-8000
php程序员,http://company.zhaopin.com/CZ693412480.htm,无锡众鼎合联科技有限公司,6001-8000
Winform程序员 （工作地：福建）,http://company.zhaopin.com/P2/CC2418/4931/CC241849312.htm,晋江市博思企业管理咨询有限公司,7000-14000
asp.net程序员（B/S）（工作地：福建）,http://company.zhaopin.com/P2/CC2418/4931/CC241849312.htm,晋江市博思企业管理咨询有限公司,7000-14000
程序员,http://company.zhaopin.com/CZ374683630.htm,无锡星力量信息科技有限公司,7000-8000
程序员,http://special.zhaopin.com/pagepublish/48979542/index.html,无锡市朗阁外语培训中心,4000-6000
php程序员,http://company.zhaopin.com/CZ630040220.htm,北京微盟移动信息科技有限公司,6000-10000
PHP程序员,http://company.zhaopin.com/CC278385982.htm,无锡佰东健康信息技术有限公司,8001-10000
java程序员,http://company.zhaopin.com/CZ493734820.htm,无锡艾科桑软件科技有限公司,3000-6000
php程序员,http://company.zhaopin.com/CZ731653580.htm,无锡智凌云物联网科技有限公司,4500-6000
.net程序员,http://company.zhaopin.com/CC175592610.htm,无锡市乐天科技发展有限公司,4000-8000
五险一金/安卓程序员/安卓开发学徒/助理,http://special.zhaopin.com/pagepublish/26987151/index.html,无锡迈尔斯通软件开发有限公司,4001-6000
php开发工程师_php程序员,http://company.zhaopin.com/CZ448564680.htm,无锡汇元信息技术有限公司,6001-8000
.net程序员,http://company.zhaopin.com/CZ493734820.htm,无锡艾科桑软件科技有限公司,3000-6000
软件工程师 程序员 算法工程师  C/C++/vc,http://company.zhaopin.com/CZ320632320.htm,无锡市创视新科技有限公司,4000-8000
带薪年假web前端实习生/web前端开发实习生,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
（应届生可实习）JAVA软件工程师助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
数据分析员/数据分析实习生/数据分析助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,3000-5000
（接受无经验+五险）嵌入式软件开发实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
计算机硬件工程师/硬件测试工程师+双休五险,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
web前端开发工程师助理(可实习+五险),http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
电子电气转行软件开发(JAVA、软件测试),http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
java软件工程师签约实习生,http://special.zhaopin.com/bf/2014/zgcrjy120485,中青才智教育投资(北京)有限公司,7500-13000
电子类+软件开发可实习,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,4001-6000
IT技术文员助理+高福利,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,4001-6000
猎头助理顾问—项目提成、五险一金,http://company.zhaopin.com/CC477326388.htm,上海埃摩森资产管理中心(有限合伙),6001-8000
软件工程师 Python（AI）开发实习生,http://special.zhaopin.com/bf/2014/zgcrjy120485,中青才智教育投资(北京)有限公司,7500-14000
硬件工程师/学徒专业不限,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
